timestamp,hour,day_of_week,month,is_weekend,total_kwh,hvac_kwh,water_heater_kwh,refrigerator_kwh,lighting_kwh,other_kwh,temperature,cost_per_kwh,total_cost
2024-01-01 00:00:00,0,0,1,False,1.257,0.317,0.316,0.156,0.061,0.407,68.59157684219514,0.08,0.10056
2024-01-01 01:00:00,1,0,1,False,0.816,0.388,0.271,0.132,0.048,-0.023,72.8511090471907,0.08,0.06527999999999999
2024-01-01 02:00:00,2,0,1,False,1.154,0.502,0.263,0.136,0.078,0.175,70.20258461406377,0.08,0.09232
2024-01-01 03:00:00,3,0,1,False,1.237,0.393,0.306,0.14,0.076,0.322,72.84231946313992,0.08,0.09896
2024-01-01 04:00:00,4,0,1,False,1.406,0.478,0.292,0.139,0.083,0.414,72.46763473630956,0.08,0.11248
2024-01-01 05:00:00,5,0,1,False,1.251,0.276,0.439,0.174,0.057,0.306,72.64528311684583,0.08,0.10007999999999999
2024-01-01 06:00:00,6,0,1,False,2.996,1.189,0.221,0.165,0.553,0.868,71.03085486870539,0.08,0.23968
2024-01-01 07:00:00,7,0,1,False,3.257,1.152,0.329,0.168,0.569,1.038,72.26499339173421,0.08,0.26056
2024-01-01 08:00:00,8,0,1,False,3.499,1.338,0.355,0.146,0.638,1.022,72.43757746718259,0.08,0.27992
2024-01-01 09:00:00,9,0,1,False,3.136,1.305,0.248,0.148,0.501,0.933,72.38678639168782,0.12,0.37632
2024-01-01 10:00:00,10,0,1,False,3.112,1.45,0.254,0.142,0.477,0.789,70.26114120471452,0.12,0.37344
2024-01-01 11:00:00,11,0,1,False,2.317,0.859,0.345,0.15,0.381,0.582,65.51483838755699,0.12,0.27804
2024-01-01 12:00:00,12,0,1,False,2.349,0.826,0.279,0.16,0.363,0.721,68.41071938869888,0.12,0.28188
2024-01-01 13:00:00,13,0,1,False,3.055,1.224,0.369,0.154,0.502,0.806,72.01937650832193,0.12,0.3666
2024-01-01 14:00:00,14,0,1,False,2.359,0.974,0.285,0.097,0.363,0.639,68.9718564504197,0.12,0.28308
2024-01-01 15:00:00,15,0,1,False,2.811,1.117,0.311,0.11,0.513,0.761,74.21187621597788,0.12,0.33731999999999995
2024-01-01 16:00:00,16,0,1,False,7.383,1.205,0.216,0.129,0.517,0.763,68.02245309269057,0.12,0.88596
2024-01-01 17:00:00,17,0,1,False,4.178,1.743,0.29,0.156,0.747,1.242,66.4939658871414,0.12,0.50136
2024-01-01 18:00:00,18,0,1,False,4.185,1.821,0.338,0.166,0.732,1.128,74.21561591763457,0.12,0.5022
2024-01-01 19:00:00,19,0,1,False,4.813,2.134,0.25,0.139,0.855,1.435,68.4895730376514,0.12,0.57756
2024-01-01 20:00:00,20,0,1,False,3.509,1.331,0.303,0.129,0.637,1.109,71.8616446478852,0.12,0.42107999999999995
2024-01-01 21:00:00,21,0,1,False,3.908,1.589,0.261,0.144,0.688,1.228,66.30740705069813,0.12,0.46896
2024-01-01 22:00:00,22,0,1,False,4.698,1.853,0.309,0.155,0.863,1.517,73.89819044279346,0.08,0.37584000000000006
2024-01-01 23:00:00,23,0,1,False,4.677,2.262,0.313,0.157,0.336,1.61,70.69676109148301,0.08,0.37416
2024-01-02 00:00:00,0,1,1,False,1.801,0.715,0.264,0.187,0.098,0.537,72.20350319464013,0.08,0.14407999999999999
2024-01-02 01:00:00,1,1,1,False,1.163,0.266,0.358,0.134,0.052,0.354,71.23834278080949,0.08,0.09304
2024-01-02 02:00:00,2,1,1,False,1.261,0.499,0.262,0.132,0.075,0.292,72.63602064457268,0.08,0.10088
2024-01-02 03:00:00,3,1,1,False,1.459,0.53,0.301,0.179,0.079,0.369,78.16050749976885,0.08,0.11672
2024-01-02 04:00:00,4,1,1,False,4.528,0.492,0.324,0.146,0.086,0.499,71.41971287372064,0.08,0.36223999999999995
2024-01-02 05:00:00,5,1,1,False,1.872,0.71,0.277,0.166,0.102,0.617,68.97357486218385,0.08,0.14976
2024-01-02 06:00:00,6,1,1,False,3.606,1.421,0.305,0.163,0.578,1.14,70.174626155338,0.08,0.28848
2024-01-02 07:00:00,7,1,1,False,4.312,1.756,0.344,0.171,0.801,1.24,74.14601381251583,0.08,0.34496000000000004
2024-01-02 08:00:00,8,1,1,False,4.481,1.85,0.313,0.15,0.78,1.387,71.7126715320795,0.08,0.35848
2024-01-02 09:00:00,9,1,1,False,2.776,1.193,0.312,0.154,0.462,0.655,65.49769482037848,0.12,0.33311999999999997
2024-01-02 10:00:00,10,1,1,False,2.601,1.014,0.273,0.114,0.436,0.763,68.5842044026317,0.12,0.31212
2024-01-02 11:00:00,11,1,1,False,2.403,0.906,0.378,0.153,0.342,0.624,66.18738457937188,0.12,0.28836
2024-01-02 12:00:00,12,1,1,False,2.52,0.999,0.392,0.177,0.326,0.626,63.924572240027175,0.12,0.3024
2024-01-02 13:00:00,13,1,1,False,2.746,1.143,0.278,0.117,0.482,0.726,74.98390519182446,0.12,0.32952
2024-01-02 14:00:00,14,1,1,False,2.286,0.843,0.219,0.169,0.348,0.706,76.3664685910379,0.12,0.27432
2024-01-02 15:00:00,15,1,1,False,2.483,1.044,0.263,0.124,0.403,0.648,75.61601704141691,0.12,0.29796
2024-01-02 16:00:00,16,1,1,False,2.237,0.846,0.295,0.11,0.418,0.567,68.67986653990904,0.12,0.26844
2024-01-02 17:00:00,17,1,1,False,4.49,1.85,0.303,0.197,0.787,1.353,72.72921452487945,0.12,0.5388000000000001
2024-01-02 18:00:00,18,1,1,False,3.757,1.519,0.303,0.163,0.66,1.112,74.75805044843605,0.12,0.45084
2024-01-02 19:00:00,19,1,1,False,4.518,1.795,0.334,0.151,0.822,1.415,69.67450633430946,0.12,0.54216
2024-01-02 20:00:00,20,1,1,False,11.101,1.613,0.31,0.168,0.712,1.141,68.13328850528116,0.12,1.33212
2024-01-02 21:00:00,21,1,1,False,5.16,2.117,0.345,0.156,0.923,1.619,71.88888652577084,0.12,0.6192
2024-01-02 22:00:00,22,1,1,False,4.089,1.719,0.331,0.15,0.705,1.186,67.99239181545636,0.08,0.32712
2024-01-02 23:00:00,23,1,1,False,5.084,2.498,0.289,0.172,0.34,1.784,72.44052890800191,0.08,0.40671999999999997
2024-01-03 00:00:00,0,2,1,False,1.841,0.818,0.301,0.164,0.098,0.46,69.18687861313437,0.08,0.14728
2024-01-03 01:00:00,1,2,1,False,1.643,0.649,0.305,0.162,0.102,0.426,76.27716182705637,0.08,0.13144
2024-01-03 02:00:00,2,2,1,False,1.435,0.522,0.34,0.162,0.058,0.353,67.90256026572425,0.08,0.11480000000000001
2024-01-03 03:00:00,3,2,1,False,1.367,0.513,0.349,0.147,0.073,0.285,69.03584247504102,0.08,0.10936
2024-01-03 04:00:00,4,2,1,False,1.482,0.536,0.312,0.155,0.088,0.391,71.67732760784358,0.08,0.11856
2024-01-03 05:00:00,5,2,1,False,0.894,0.372,0.228,0.122,0.041,0.132,69.35965854486446,0.08,0.07152
2024-01-03 06:00:00,6,2,1,False,9.706,1.721,0.292,0.15,0.701,1.068,70.96815568101427,0.08,0.77648
2024-01-03 07:00:00,7,2,1,False,4.049,1.691,0.325,0.152,0.76,1.122,67.46758925944678,0.08,0.32392000000000004
2024-01-03 08:00:00,8,2,1,False,3.498,1.396,0.349,0.159,0.595,0.998,74.35343082338512,0.08,0.27984000000000003
2024-01-03 09:00:00,9,2,1,False,2.683,1.054,0.36,0.186,0.41,0.673,72.92892737944331,0.12,0.32195999999999997
2024-01-03 10:00:00,10,2,1,False,2.072,0.855,0.232,0.171,0.373,0.441,71.02526792733148,0.12,0.24864
2024-01-03 11:00:00,11,2,1,False,2.66,1.074,0.329,0.169,0.38,0.708,74.42997587628889,0.12,0.3192
2024-01-03 12:00:00,12,2,1,False,2.879,1.185,0.286,0.156,0.511,0.742,69.65638046424215,0.12,0.34548
2024-01-03 13:00:00,13,2,1,False,2.604,1.062,0.295,0.149,0.402,0.696,70.90704487099492,0.12,0.31248
2024-01-03 14:00:00,14,2,1,False,3.073,1.375,0.316,0.144,0.524,0.714,70.36088689513569,0.12,0.36876
2024-01-03 15:00:00,15,2,1,False,2.318,0.898,0.353,0.181,0.363,0.522,69.08840669370721,0.12,0.27816
2024-01-03 16:00:00,16,2,1,False,2.779,1.001,0.378,0.153,0.424,0.822,69.25310755456277,0.12,0.33348
2024-01-03 17:00:00,17,2,1,False,9.466,1.698,0.374,0.168,0.686,1.1,68.97307408412681,0.12,1.1359199999999998
2024-01-03 18:00:00,18,2,1,False,4.685,1.93,0.198,0.145,0.878,1.535,68.53985651187175,0.12,0.5621999999999999
2024-01-03 19:00:00,19,2,1,False,4.992,2.213,0.215,0.149,0.891,1.524,69.90191575571772,0.12,0.59904
2024-01-03 20:00:00,20,2,1,False,4.107,1.662,0.333,0.157,0.768,1.186,72.24210409483541,0.12,0.49284
2024-01-03 21:00:00,21,2,1,False,4.474,1.905,0.251,0.16,0.829,1.329,67.62138150321297,0.12,0.53688
2024-01-03 22:00:00,22,2,1,False,3.593,1.546,0.248,0.139,0.667,0.992,69.69415146256043,0.08,0.28744000000000003
2024-01-03 23:00:00,23,2,1,False,4.597,2.258,0.265,0.154,0.322,1.598,69.33709120140033,0.08,0.36776000000000003
2024-01-04 00:00:00,0,3,1,False,1.268,0.559,0.271,0.144,0.087,0.207,68.12042745193438,0.08,0.10144
2024-01-04 01:00:00,1,3,1,False,1.709,0.392,0.329,0.156,0.087,0.745,73.35872473430373,0.08,0.13672
2024-01-04 02:00:00,2,3,1,False,2.332,0.304,0.31,0.135,0.066,0.189,68.06028134727242,0.08,0.18656
2024-01-04 03:00:00,3,3,1,False,1.04,0.196,0.311,0.168,0.043,0.322,71.96090278400597,0.08,0.08320000000000001
2024-01-04 04:00:00,4,3,1,False,1.422,0.525,0.351,0.141,0.041,0.364,67.37314523984573,0.08,0.11376
2024-01-04 05:00:00,5,3,1,False,1.28,0.423,0.204,0.169,0.08,0.404,70.38209643561147,0.08,0.1024
2024-01-04 06:00:00,6,3,1,False,3.109,1.254,0.269,0.142,0.557,0.887,70.14556488383448,0.08,0.24872
2024-01-04 07:00:00,7,3,1,False,3.68,1.444,0.32,0.148,0.654,1.114,70.82073220941588,0.08,0.2944
2024-01-04 08:00:00,8,3,1,False,3.61,1.403,0.31,0.191,0.579,1.127,68.01212872316246,0.08,0.2888
2024-01-04 09:00:00,9,3,1,False,2.335,0.951,0.314,0.095,0.383,0.592,69.07985080203454,0.12,0.2802
2024-01-04 10:00:00,10,3,1,False,2.122,0.763,0.313,0.206,0.376,0.465,67.41875990414815,0.12,0.25464
2024-01-04 11:00:00,11,3,1,False,2.149,0.728,0.27,0.165,0.328,0.658,72.31491444790402,0.12,0.25788
2024-01-04 12:00:00,12,3,1,False,2.304,0.789,0.248,0.153,0.414,0.699,70.2597693624187,0.12,0.27647999999999995
2024-01-04 13:00:00,13,3,1,False,2.549,1.001,0.294,0.152,0.436,0.667,71.76498555538193,0.12,0.30588
2024-01-04 14:00:00,14,3,1,False,2.295,0.87,0.352,0.106,0.349,0.619,73.60364176649183,0.12,0.2754
2024-01-04 15:00:00,15,3,1,False,2.472,0.909,0.266,0.105,0.407,0.784,67.46936511326359,0.12,0.29663999999999996
2024-01-04 16:00:00,16,3,1,False,2.313,0.825,0.341,0.168,0.364,0.616,65.56424126266047,0.12,0.27756000000000003
2024-01-04 17:00:00,17,3,1,False,4.154,1.721,0.325,0.175,0.688,1.244,70.24616461345839,0.12,0.49848
2024-01-04 18:00:00,18,3,1,False,3.839,1.51,0.259,0.18,0.694,1.196,73.1126198327737,0.12,0.46068
2024-01-04 19:00:00,19,3,1,False,3.794,1.527,0.364,0.141,0.676,1.085,68.34206267995899,0.12,0.45527999999999996
2024-01-04 20:00:00,20,3,1,False,5.297,2.314,0.35,0.117,0.932,1.582,64.66383925328716,0.12,0.63564
2024-01-04 21:00:00,21,3,1,False,4.761,2.072,0.309,0.203,0.824,1.353,70.14074630485078,0.12,0.5713199999999999
2024-01-04 22:00:00,22,3,1,False,5.814,2.562,0.33,0.154,1.021,1.747,75.6460734894251,0.08,0.46512000000000003
2024-01-04 23:00:00,23,3,1,False,4.089,2.02,0.309,0.152,0.269,1.338,72.34321980284936,0.08,0.32712
2024-01-05 00:00:00,0,4,1,False,2.056,0.981,0.326,0.138,0.104,0.506,66.96368687421949,0.08,0.16448000000000002
2024-01-05 01:00:00,1,4,1,False,1.357,0.343,0.289,0.163,0.073,0.49,67.54457734887282,0.08,0.10856
2024-01-05 02:00:00,2,4,1,False,0.857,0.243,0.293,0.15,0.051,0.122,69.30719640937397,0.08,0.06856
2024-01-05 03:00:00,3,4,1,False,1.383,0.599,0.249,0.16,0.076,0.298,69.50639302585091,0.08,0.11064
2024-01-05 04:00:00,4,4,1,False,1.353,0.423,0.307,0.134,0.07,0.418,68.27901397935929,0.08,0.10824
2024-01-05 05:00:00,5,4,1,False,1.129,0.208,0.428,0.128,0.038,0.327,62.02194592885188,0.08,0.09032
2024-01-05 06:00:00,6,4,1,False,3.579,1.402,0.31,0.156,0.651,1.06,65.77746491584654,0.08,0.28632
2024-01-05 07:00:00,7,4,1,False,4.041,1.621,0.282,0.149,0.728,1.262,67.68199857317958,0.08,0.32328
2024-01-05 08:00:00,8,4,1,False,3.0,1.174,0.264,0.152,0.534,0.876,66.33361657332416,0.08,0.24
2024-01-05 09:00:00,9,4,1,False,2.246,0.855,0.341,0.131,0.336,0.583,70.75826652261367,0.12,0.26952
2024-01-05 10:00:00,10,4,1,False,2.757,0.997,0.253,0.117,0.455,0.935,68.43183093844289,0.12,0.33084
2024-01-05 11:00:00,11,4,1,False,2.509,0.967,0.366,0.115,0.369,0.691,65.76092696397467,0.12,0.30107999999999996
2024-01-05 12:00:00,12,4,1,False,2.418,0.83,0.273,0.169,0.431,0.715,68.90916336335843,0.12,0.29016000000000003
2024-01-05 13:00:00,13,4,1,False,2.36,0.861,0.408,0.163,0.371,0.557,68.74557089797219,0.12,0.28319999999999995
2024-01-05 14:00:00,14,4,1,False,2.957,1.089,0.305,0.117,0.522,0.925,73.08746691197693,0.12,0.35484
2024-01-05 15:00:00,15,4,1,False,2.301,0.883,0.381,0.181,0.358,0.497,71.53088916874697,0.12,0.27612000000000003
2024-01-05 16:00:00,16,4,1,False,2.397,0.979,0.182,0.143,0.403,0.691,68.16544659102415,0.12,0.28763999999999995
2024-01-05 17:00:00,17,4,1,False,4.172,1.612,0.367,0.132,0.751,1.309,64.73927884627393,0.12,0.50064
2024-01-05 18:00:00,18,4,1,False,4.872,2.13,0.309,0.162,0.909,1.363,77.68025361480639,0.12,0.5846399999999999
2024-01-05 19:00:00,19,4,1,False,4.298,1.788,0.282,0.155,0.77,1.302,68.99544318287165,0.12,0.51576
2024-01-05 20:00:00,20,4,1,False,4.933,1.989,0.28,0.16,0.919,1.585,71.86542988665158,0.12,0.5919599999999999
2024-01-05 21:00:00,21,4,1,False,4.237,1.667,0.234,0.145,0.782,1.409,70.35881700666121,0.12,0.50844
